#Résumé,#nom methode controleurs,#chemin url,#methodes http,#parametres url,#eventuelle variable GET
Page de connexion : Afficher la page,connexion,/,GET,,
Page de connexion : Tentative de connexion,connexion,/,POST,,
Afficher une sortie et ses participants,sortie_get_by_id_0,/sortie/{id},GET,[int id],
Afficher une sortie et ses participants,sortie_get_by_id_0,/sortie/{id},GET,[int id],
Créer une sortie : Affichage,createSortie,/sortie/create,GET,,
Créer une sortie : Tentative enregistrement,createSortie,/sortie/create,POST,,
S'inscrir à une sortie,joinSortie,/sortie/join/{id},GET,[int id],
Se désister d'une sortie,leaveSortie,/sortie/leave/{id},GET,[int id],
Annuler une sortie,cancelSortie,/sortie/cancel/{id},GET,[int id],
Page accueil : Affichage,sorties_0,/Home,GET,,
Page accueil : Affichage,sorties_1,/Sortie,GET,,
Page accueil : Affichage,sorties_2,/sorties,GET,,
Page accueil : Affichage,sorties_3,/home,GET,,
Page accueil : Rechercher une sortie,sorties_0,/Home,POST,,
Page accueil : Rechercher une sortie,sorties_1,/Sorties,POST,,
Page accueil : Rechercher une sortie,sorties_2,/sorties,POST,,
Page accueil : Rechercher une sortie,sorties_3,/home,POST,,
Participant : Afficher,participant_read_0,/Participant/{id},GET,[int id],
Participant : Désactiver,participant_deactivate_0,/Participant/Deactivate/{id},GET,[int id],
